login,user_url,html_url,repos_url,followers,total_stars,total_forks,total_watchers,languages
rwdeploy,https://api.github.com/users/rwdeploy,https://github.com/rwdeploy,https://api.github.com/users/rwdeploy/repos,4,0,0,0,set()
stiff,https://api.github.com/users/stiff,https://github.com/stiff,https://api.github.com/users/stiff/repos,14,84,21,84,"{'Ruby', 'Python', 'CoffeeScript', 'JavaScript'}"
jadonk,https://api.github.com/users/jadonk,https://github.com/jadonk,https://api.github.com/users/jadonk/repos,490,56,27,56,"{'PHP', 'C++', 'C', 'OpenSCAD', 'JavaScript', 'Shell', 'Python'}"
intervisionsoftware,https://api.github.com/users/intervisionsoftware,https://github.com/intervisionsoftware,https://api.github.com/users/intervisionsoftware/repos,4,0,0,0,set()
danBerman,https://api.github.com/users/danBerman,https://github.com/danBerman,https://api.github.com/users/danBerman/repos,5,0,0,0,{'C'}
benburdick,https://api.github.com/users/benburdick,https://github.com/benburdick,https://api.github.com/users/benburdick/repos,3,0,0,0,set()
afrojas,https://api.github.com/users/afrojas,https://github.com/afrojas,https://api.github.com/users/afrojas/repos,5,8,3,8,"{'Ruby', 'JavaScript', 'HTML'}"
august,https://api.github.com/users/august,https://github.com/august,https://api.github.com/users/august/repos,8,13,6,13,"{'PHP', 'JavaScript', 'Objective-C'}"
scharris,https://api.github.com/users/scharris,https://github.com/scharris,https://api.github.com/users/scharris/repos,14,40,11,40,"{'TypeScript', 'PLpgSQL', 'Nix', 'Julia', 'Idris', 'Haskell', 'Java', 'Rust'}"
pennig,https://api.github.com/users/pennig,https://github.com/pennig,https://api.github.com/users/pennig/repos,33,4,7,4,"{'Ruby', 'C++', 'Objective-C', 'JavaScript', 'Swift'}"
justinfrench,https://api.github.com/users/justinfrench,https://github.com/justinfrench,https://api.github.com/users/justinfrench/repos,332,51,3,51,{'Ruby'}
hirmsn,https://api.github.com/users/hirmsn,https://github.com/hirmsn,https://api.github.com/users/hirmsn/repos,4,0,0,0,set()
kb,https://api.github.com/users/kb,https://github.com/kb,https://api.github.com/users/kb/repos,57,15,3,15,"{'Ruby', 'Objective-C', 'Elixir', 'Go', 'Emacs Lisp', 'Python', 'CSS'}"
jaegerpicker,https://api.github.com/users/jaegerpicker,https://github.com/jaegerpicker,https://api.github.com/users/jaegerpicker/repos,24,20,20,20,"{'Ruby', 'C++', 'C', 'Jupyter Notebook', 'JavaScript', 'C#', 'Shell', 'Emacs Lisp', 'Go', 'Python', 'Java', 'Swift'}"
alvaromateus,https://api.github.com/users/alvaromateus,https://github.com/alvaromateus,https://api.github.com/users/alvaromateus/repos,7,10,2,10,"{'Ruby', 'PHP', 'Jupyter Notebook', 'JavaScript', 'HTML', 'Python', 'Java'}"
Aksim,https://api.github.com/users/Aksim,https://github.com/Aksim,https://api.github.com/users/Aksim/repos,4,0,0,0,set()
gonium,https://api.github.com/users/gonium,https://github.com/gonium,https://api.github.com/users/gonium/repos,66,285,67,285,"{'Ruby', 'C++', 'C', 'Jupyter Notebook', 'HTML', 'Go', 'Shell', 'Python', 'TeX', 'CSS', 'Java'}"
jjames,https://api.github.com/users/jjames,https://github.com/jjames,https://api.github.com/users/jjames/repos,11,1,0,1,{'Groovy'}
jf,https://api.github.com/users/jf,https://github.com/jf,https://api.github.com/users/jf/repos,27,26,2,26,"{'Ruby', 'C', 'Clojure', 'JavaScript', 'Go', 'Emacs Lisp', 'HTML', 'Python'}"
burnthand,https://api.github.com/users/burnthand,https://github.com/burnthand,https://api.github.com/users/burnthand/repos,3,0,0,0,set()
quikdraw2700,https://api.github.com/users/quikdraw2700,https://github.com/quikdraw2700,https://api.github.com/users/quikdraw2700/repos,21,5,1,5,"{'Ruby', 'JavaScript', 'Makefile'}"
ewout,https://api.github.com/users/ewout,https://github.com/ewout,https://api.github.com/users/ewout/repos,13,12,2,12,"{'PHP', 'Jupyter Notebook', 'JavaScript', 'Python', 'CSS'}"
bhushangahire,https://api.github.com/users/bhushangahire,https://github.com/bhushangahire,https://api.github.com/users/bhushangahire/repos,13,16,5,16,"{'Ruby', 'C++', 'Objective-C', 'JavaScript', 'Shell'}"
workingtechnology,https://api.github.com/users/workingtechnology,https://github.com/workingtechnology,https://api.github.com/users/workingtechnology/repos,2,0,0,0,{'VimL'}
BDizzle,https://api.github.com/users/BDizzle,https://github.com/BDizzle,https://api.github.com/users/BDizzle/repos,13,5,2,5,"{'Python', 'C#', 'C++', 'C'}"
dududoor,https://api.github.com/users/dududoor,https://github.com/dududoor,https://api.github.com/users/dududoor/repos,4,0,0,0,set()
jbcrail,https://api.github.com/users/jbcrail,https://github.com/jbcrail,https://api.github.com/users/jbcrail/repos,79,7,3,7,"{'Ruby', 'PHP', 'C', 'JavaScript', 'Go', 'Shell', 'Python', 'Ragel in Ruby Host', 'Makefile', 'Rust'}"
alexander,https://api.github.com/users/alexander,https://github.com/alexander,https://api.github.com/users/alexander/repos,9,0,0,0,set()
CaptainHoneyBadger,https://api.github.com/users/CaptainHoneyBadger,https://github.com/CaptainHoneyBadger,https://api.github.com/users/CaptainHoneyBadger/repos,4,0,0,0,set()
cornexo,https://api.github.com/users/cornexo,https://github.com/cornexo,https://api.github.com/users/cornexo/repos,19,5,0,5,"{'Ruby', 'C', 'TypeScript', 'Objective-C', 'JavaScript', 'HTML', 'Go', 'Python', 'Groovy'}"
abarrow,https://api.github.com/users/abarrow,https://github.com/abarrow,https://api.github.com/users/abarrow/repos,5,0,0,0,"{'Python', 'JavaScript', 'Apex', 'Swift'}"
austin,https://api.github.com/users/austin,https://github.com/austin,https://api.github.com/users/austin/repos,11,2,0,2,"{'Ruby', 'Python', 'JavaScript'}"
antenore,https://api.github.com/users/antenore,https://github.com/antenore,https://api.github.com/users/antenore/repos,148,13,7,13,"{'Ruby', 'C', 'Vim script', 'Shell', 'TeX', 'Python', 'Lua', 'CSS'}"
gokiburi,https://api.github.com/users/gokiburi,https://github.com/gokiburi,https://api.github.com/users/gokiburi/repos,3,0,0,0,set()
LimeHat,https://api.github.com/users/LimeHat,https://github.com/LimeHat,https://api.github.com/users/LimeHat/repos,20,0,0,0,"{'Makefile', 'Go'}"
cementhorses,https://api.github.com/users/cementhorses,https://github.com/cementhorses,https://api.github.com/users/cementhorses/repos,8,33,9,33,"{'Ruby', 'JavaScript'}"
link-zz,https://api.github.com/users/link-zz,https://github.com/link-zz,https://api.github.com/users/link-zz/repos,5,0,0,0,set()
tolnem,https://api.github.com/users/tolnem,https://github.com/tolnem,https://api.github.com/users/tolnem/repos,10,9,1,9,"{'PHP', 'Python', 'JavaScript'}"
heather27stars,https://api.github.com/users/heather27stars,https://github.com/heather27stars,https://api.github.com/users/heather27stars/repos,3,0,0,0,set()
danielegozzi,https://api.github.com/users/danielegozzi,https://github.com/danielegozzi,https://api.github.com/users/danielegozzi/repos,5,21,4,21,"{'Ruby', 'JavaScript', 'Shell', 'Go', 'Python'}"
pjo,https://api.github.com/users/pjo,https://github.com/pjo,https://api.github.com/users/pjo/repos,8,0,0,0,{'Ruby'}
enjay,https://api.github.com/users/enjay,https://github.com/enjay,https://api.github.com/users/enjay/repos,3,0,0,0,set()
jinzhu,https://api.github.com/users/jinzhu,https://github.com/jinzhu,https://api.github.com/users/jinzhu/repos,5342,7339,724,7339,"{'Ruby', 'C', 'JavaScript', 'Go', 'Emacs Lisp'}"
sentientmonkey,https://api.github.com/users/sentientmonkey,https://github.com/sentientmonkey,https://api.github.com/users/sentientmonkey/repos,53,30,5,30,"{'Ruby', 'HaXe', 'C', 'TypeScript', 'Racket', 'JavaScript', 'Go', 'Emacs Lisp', 'Haskell'}"
Soulsbane,https://api.github.com/users/Soulsbane,https://github.com/Soulsbane,https://api.github.com/users/Soulsbane/repos,23,0,1,0,"{'D', 'JavaScript', 'Go', 'Rust'}"
kozmic,https://api.github.com/users/kozmic,https://github.com/kozmic,https://api.github.com/users/kozmic/repos,105,60,36,60,"{'Ruby', 'JavaScript', 'Go', 'Shell', 'HTML', 'Python', 'Groovy', 'XSLT', 'Java'}"
