login,user_url,html_url,repos_url,followers,total_stars,total_forks,total_watchers,languages,label
stiff,https://api.github.com/users/stiff,https://github.com/stiff,https://api.github.com/users/stiff/repos,14,84,21,84,"{'Ruby', 'CoffeeScript', 'JavaScript', 'Python'}",Average
jadonk,https://api.github.com/users/jadonk,https://github.com/jadonk,https://api.github.com/users/jadonk/repos,490,56,27,56,"{'Shell', 'JavaScript', 'C', 'Python', 'C++', 'PHP', 'OpenSCAD'}",Excellent
danBerman,https://api.github.com/users/danBerman,https://github.com/danBerman,https://api.github.com/users/danBerman/repos,5,0,0,0,{'C'},Bad
afrojas,https://api.github.com/users/afrojas,https://github.com/afrojas,https://api.github.com/users/afrojas/repos,5,8,3,8,"{'Ruby', 'JavaScript', 'HTML'}",Bad
august,https://api.github.com/users/august,https://github.com/august,https://api.github.com/users/august/repos,8,13,6,13,"{'PHP', 'JavaScript', 'Objective-C'}",Bad
scharris,https://api.github.com/users/scharris,https://github.com/scharris,https://api.github.com/users/scharris/repos,14,40,11,40,"{'Idris', 'Julia', 'TypeScript', 'Haskell', 'PLpgSQL', 'Nix', 'Rust', 'Java'}",Average
pennig,https://api.github.com/users/pennig,https://github.com/pennig,https://api.github.com/users/pennig/repos,33,4,7,4,"{'Ruby', 'JavaScript', 'Swift', 'Objective-C', 'C++'}",Bad
justinfrench,https://api.github.com/users/justinfrench,https://github.com/justinfrench,https://api.github.com/users/justinfrench/repos,332,51,3,51,{'Ruby'},Average
kb,https://api.github.com/users/kb,https://github.com/kb,https://api.github.com/users/kb/repos,57,15,3,15,"{'Elixir', 'Ruby', 'Objective-C', 'Python', 'CSS', 'Go', 'Emacs Lisp'}",Bad
jaegerpicker,https://api.github.com/users/jaegerpicker,https://github.com/jaegerpicker,https://api.github.com/users/jaegerpicker/repos,24,20,20,20,"{'Shell', 'Ruby', 'Emacs Lisp', 'JavaScript', 'C', 'Swift', 'Python', 'C#', 'C++', 'Jupyter Notebook', 'Go', 'Java'}",Average
alvaromateus,https://api.github.com/users/alvaromateus,https://github.com/alvaromateus,https://api.github.com/users/alvaromateus/repos,7,10,2,10,"{'HTML', 'Ruby', 'JavaScript', 'Python', 'Jupyter Notebook', 'PHP', 'Java'}",Bad
gonium,https://api.github.com/users/gonium,https://github.com/gonium,https://api.github.com/users/gonium/repos,66,285,67,285,"{'Shell', 'Ruby', 'Java', 'C', 'Python', 'CSS', 'C++', 'Jupyter Notebook', 'TeX', 'Go', 'HTML'}",Excellent
jjames,https://api.github.com/users/jjames,https://github.com/jjames,https://api.github.com/users/jjames/repos,11,1,0,1,{'Groovy'},Bad
jf,https://api.github.com/users/jf,https://github.com/jf,https://api.github.com/users/jf/repos,27,26,2,26,"{'HTML', 'Ruby', 'JavaScript', 'C', 'Clojure', 'Python', 'Go', 'Emacs Lisp'}",Bad
quikdraw2700,https://api.github.com/users/quikdraw2700,https://github.com/quikdraw2700,https://api.github.com/users/quikdraw2700/repos,21,5,1,5,"{'Ruby', 'JavaScript', 'Makefile'}",Bad
ewout,https://api.github.com/users/ewout,https://github.com/ewout,https://api.github.com/users/ewout/repos,13,12,2,12,"{'JavaScript', 'CSS', 'Python', 'Jupyter Notebook', 'PHP'}",Bad
bhushangahire,https://api.github.com/users/bhushangahire,https://github.com/bhushangahire,https://api.github.com/users/bhushangahire/repos,13,16,5,16,"{'Shell', 'Ruby', 'JavaScript', 'Objective-C', 'C++'}",Bad
workingtechnology,https://api.github.com/users/workingtechnology,https://github.com/workingtechnology,https://api.github.com/users/workingtechnology/repos,2,0,0,0,{'VimL'},Bad
BDizzle,https://api.github.com/users/BDizzle,https://github.com/BDizzle,https://api.github.com/users/BDizzle/repos,13,5,2,5,"{'Python', 'C#', 'C++', 'C'}",Bad
jbcrail,https://api.github.com/users/jbcrail,https://github.com/jbcrail,https://api.github.com/users/jbcrail/repos,79,7,3,7,"{'PHP', 'Shell', 'Ruby', 'JavaScript', 'C', 'Python', 'Ragel in Ruby Host', 'Makefile', 'Rust', 'Go'}",Bad
cornexo,https://api.github.com/users/cornexo,https://github.com/cornexo,https://api.github.com/users/cornexo/repos,19,5,0,5,"{'TypeScript', 'Ruby', 'JavaScript', 'C', 'Objective-C', 'Python', 'Go', 'Groovy', 'HTML'}",Bad
abarrow,https://api.github.com/users/abarrow,https://github.com/abarrow,https://api.github.com/users/abarrow/repos,5,0,0,0,"{'Python', 'JavaScript', 'Apex', 'Swift'}",Bad
austin,https://api.github.com/users/austin,https://github.com/austin,https://api.github.com/users/austin/repos,11,2,0,2,"{'Python', 'JavaScript', 'Ruby'}",Bad
