login,user_url,html_url,repos_url,followers,total_stars,total_forks,total_watchers,languages,repo_count,label
stiff,https://api.github.com/users/stiff,https://github.com/stiff,https://api.github.com/users/stiff/repos,14,84,21,84,"{'Python', 'CoffeeScript', 'Ruby', 'JavaScript'}",21,0
jadonk,https://api.github.com/users/jadonk,https://github.com/jadonk,https://api.github.com/users/jadonk/repos,490,56,27,56,"{'C', 'C++', 'PHP', 'Shell', 'JavaScript', 'OpenSCAD', 'Python'}",30,0
danBerman,https://api.github.com/users/danBerman,https://github.com/danBerman,https://api.github.com/users/danBerman/repos,5,0,0,0,{'C'},3,1
afrojas,https://api.github.com/users/afrojas,https://github.com/afrojas,https://api.github.com/users/afrojas/repos,5,8,3,8,"{'Ruby', 'HTML', 'JavaScript'}",12,1
august,https://api.github.com/users/august,https://github.com/august,https://api.github.com/users/august/repos,8,13,6,13,"{'PHP', 'Objective-C', 'JavaScript'}",9,1
scharris,https://api.github.com/users/scharris,https://github.com/scharris,https://api.github.com/users/scharris/repos,14,40,11,40,"{'Java', 'Idris', 'Julia', 'Haskell', 'TypeScript', 'PLpgSQL', 'Nix', 'Rust'}",13,0
pennig,https://api.github.com/users/pennig,https://github.com/pennig,https://api.github.com/users/pennig/repos,33,4,7,4,"{'Swift', 'C++', 'Ruby', 'JavaScript', 'Objective-C'}",25,1
justinfrench,https://api.github.com/users/justinfrench,https://github.com/justinfrench,https://api.github.com/users/justinfrench/repos,332,51,3,51,{'Ruby'},6,0
kb,https://api.github.com/users/kb,https://github.com/kb,https://api.github.com/users/kb/repos,57,15,3,15,"{'CSS', 'Emacs Lisp', 'Elixir', 'Objective-C', 'Ruby', 'Go', 'Python'}",22,0
jaegerpicker,https://api.github.com/users/jaegerpicker,https://github.com/jaegerpicker,https://api.github.com/users/jaegerpicker/repos,24,20,20,20,"{'Java', 'Swift', 'C#', 'C', 'Jupyter Notebook', 'Emacs Lisp', 'C++', 'Ruby', 'Shell', 'JavaScript', 'Go', 'Python'}",28,1
alvaromateus,https://api.github.com/users/alvaromateus,https://github.com/alvaromateus,https://api.github.com/users/alvaromateus/repos,7,10,2,10,"{'Java', 'HTML', 'Jupyter Notebook', 'Python', 'PHP', 'Ruby', 'JavaScript'}",15,1
gonium,https://api.github.com/users/gonium,https://github.com/gonium,https://api.github.com/users/gonium/repos,66,285,67,285,"{'Java', 'HTML', 'C', 'CSS', 'Jupyter Notebook', 'C++', 'Ruby', 'TeX', 'Shell', 'Go', 'Python'}",30,0
jjames,https://api.github.com/users/jjames,https://github.com/jjames,https://api.github.com/users/jjames/repos,11,1,0,1,{'Groovy'},2,1
jf,https://api.github.com/users/jf,https://github.com/jf,https://api.github.com/users/jf/repos,27,26,2,26,"{'HTML', 'C', 'Python', 'Emacs Lisp', 'Ruby', 'JavaScript', 'Clojure', 'Go'}",30,1
quikdraw2700,https://api.github.com/users/quikdraw2700,https://github.com/quikdraw2700,https://api.github.com/users/quikdraw2700/repos,21,5,1,5,"{'Makefile', 'Ruby', 'JavaScript'}",3,1
ewout,https://api.github.com/users/ewout,https://github.com/ewout,https://api.github.com/users/ewout/repos,13,12,2,12,"{'CSS', 'Jupyter Notebook', 'PHP', 'JavaScript', 'Python'}",18,1
bhushangahire,https://api.github.com/users/bhushangahire,https://github.com/bhushangahire,https://api.github.com/users/bhushangahire/repos,13,16,5,16,"{'C++', 'Ruby', 'Shell', 'JavaScript', 'Objective-C'}",30,1
workingtechnology,https://api.github.com/users/workingtechnology,https://github.com/workingtechnology,https://api.github.com/users/workingtechnology/repos,2,0,0,0,{'VimL'},1,1
BDizzle,https://api.github.com/users/BDizzle,https://github.com/BDizzle,https://api.github.com/users/BDizzle/repos,13,5,2,5,"{'C++', 'C#', 'C', 'Python'}",9,1
